Date, Time(24HR), Temperature(Celsius), Humidity(%) 
2018-10-2,18:42:50.65348,22.0,68.0
2018-10-2,18:42:55.25658,21.0,70.0
2018-10-2,18:42:58.79140,21.0,69.0
2018-10-2,18:43:02.32078,21.0,69.0
2018-10-2,18:43:05.84998,21.0,69.0
2018-10-2,18:43:09.37914,21.0,69.0
2018-10-2,18:43:12.90837,21.0,69.0
2018-10-2,18:43:16.43756,21.0,69.0
2018-10-2,18:43:19.96675,21.0,69.0
2018-10-2,18:43:26.02364,21.0,68.0
2018-10-2,18:43:29.55293,21.0,69.0
